2014080100,86
2014080105,37
2014080106,1639
2014080107,6393
2014080108,7581
2014080109,4755
2014080110,3723
2014080111,2797
2014080112,2714
2014080113,2673
2014080114,2745
2014080115,3015
2014080116,3476
2014080117,5205
2014080118,6343
2014080119,3870
2014080120,2617
2014080121,2384
2014080122,1320
2014080123,363
2014080200,148
2014080201,3
2014080205,11
2014080206,1111
2014080207,3320
2014080208,4648
2014080209,4435
2014080210,3671
2014080211,3144
2014080212,2976
2014080213,3025
2014080214,2967
2014080215,3104
2014080216,3285
2014080217,3611
2014080218,3739
2014080219,2460
2014080220,2434
2014080221,2214
2014080222,1310
2014080223,458
2014080300,180
2014080301,59
2014080302,28
2014080303,51
2014080304,2
2014080305,35
2014080306,847
2014080307,2531
2014080308,3693
2014080309,3648
2014080310,3658
2014080311,3306
2014080312,2718
2014080313,3116
2014080314,3302
2014080315,3161
2014080316,3408
2014080317,3777
2014080318,3383
2014080319,2463
2014080320,2366
2014080321,1971
2014080322,1073
2014080323,296
2014080400,88
2014080405,94
2014080406,1774
2014080407,6204
2014080408,7147
2014080409,4578
2014080410,3602
2014080411,2951
2014080412,2484
2014080413,2786
2014080414,2807
2014080415,2910
2014080416,3311
2014080417,5349
2014080418,5385
2014080419,3267
2014080420,2527
2014080421,1985
2014080422,986
2014080423,239
2014080500,68
2014080505,53
2014080506,1760
2014080507,6264
2014080508,7866
2014080509,5359
2014080510,4139
2014080511,3278
2014080512,2458
2014080513,2866
2014080514,2982
2014080515,2997
2014080516,3412
2014080517,5201
2014080518,5829
2014080519,3619
2014080520,2441
2014080521,2005
2014080522,1132
2014080523,272
2014080600,106
2014080601,5
2014080603,37
2014080604,74
2014080605,56
2014080606,1650
2014080607,6307
2014080608,7833
2014080609,4418
2014080610,3965
2014080611,2804
2014080612,2515
2014080613,2885
2014080614,2994
2014080615,3275
2014080616,3502
2014080617,5491
2014080618,5921
2014080619,3601
2014080620,2264
2014080621,1997
2014080622,1050
2014080623,339
2014080700,118
2014080704,47
2014080705,114
2014080706,1479
2014080707,5905
2014080708,7859
2014080709,4769
2014080710,3640
2014080711,2670
2014080712,2305
2014080713,2642
2014080714,2564
2014080715,2787
2014080716,3250
2014080717,5201
2014080718,5315
2014080719,3371
2014080720,2218
2014080721,2094
2014080722,1039
2014080723,355
2014080800,184
2014080801,12
2014080802,14
2014080803,19
2014080804,6
2014080805,45
2014080806,1731
2014080807,5826
2014080808,7638
2014080809,4778
2014080810,3861
2014080811,3093
2014080812,2469
2014080813,2769
2014080814,2880
2014080815,3072
2014080816,3604
2014080817,5012
2014080818,5712
2014080819,3442
2014080820,2581
2014080821,2336
2014080822,1363
2014080823,355
2014080900,140
2014080901,49
2014080902,47
2014080903,60
2014080904,32
2014080905,32
2014080906,1179
2014080907,3190
2014080908,4786
2014080909,4551
2014080910,3931
2014080911,3162
2014080912,3018
2014080913,3169
2014080914,3172
2014080915,3034
2014080916,3327
2014080917,4213
2014080918,3875
2014080919,2696
2014080920,2244
2014080921,1982
2014080922,1149
2014080923,285
2014081000,89
2014081005,37
2014081006,1025
2014081007,2471
2014081008,3531
2014081009,3860
2014081010,3809
2014081011,3285
2014081012,2708
2014081013,2955
2014081014,2970
2014081015,2850
2014081016,3216
2014081017,3692
2014081018,3003
2014081019,2647
2014081020,2065
2014081021,1505
2014081022,655
2014081023,214
2014081100,30
2014081106,32
2014081107,66
2014081108,116
2014081109,23
2014081110,26
2014081305,21
2014081306,25
2014081316,20
2014081317,97
2014081318,142
2014081319,166
2014081320,163
2014081321,290
2014081322,272
2014081323,47
2014081400,104
2014081401,46
2014081402,79
2014081403,57
2014081404,8
2014081405,36
2014081406,1635
2014081407,5993
2014081408,7619
2014081409,5061
2014081410,3804
2014081411,2846
2014081412,2510
2014081413,2771
2014081414,2828
2014081415,3225
2014081416,3476
2014081417,5427
2014081418,5420
2014081419,3379
2014081420,2113
2014081421,1833
2014081422,587
2014081423,331
2014081500,93
2014081501,1
2014081506,40
2014081507,254
2014081508,317
2014081509,102
2014081510,125
2014081511,192
2014081512,100
2014081513,207
2014081514,143
2014081515,132
2014081516,144
2014081517,251
2014081518,232
2014081519,305
2014081520,340
2014081521,467
2014081522,404
2014081523,21
2014081604,22
2014081605,105
2014081606,1258
2014081607,3482
2014081608,4754
2014081609,4245
2014081610,4069
2014081611,3392
2014081612,2999
2014081613,3116
2014081614,3180
2014081615,3071
2014081616,3379
2014081617,4217
2014081618,3984
2014081619,2871
2014081620,2607
2014081621,2346
2014081622,1265
2014081623,359
2014081700,90
2014081701,2
2014081704,17
2014081705,43
2014081706,873
2014081707,2351
2014081708,3676
2014081709,3905
2014081710,3785
2014081711,3144
2014081712,2571
2014081713,2934
